"name","label","description","legal_basis"
04,"Revenue accruing from persons working with the institutions and other Union bodies","",""
05,"Revenue accruing from the administrative operation of the institution","",""
06,"Contributions and refunds in connection with Community/EU agreements and programmes","",""
07,"Interest on late payments and fines","",""
08,"Borrowing and lending operations","",""
09,"Miscellaneous revenue","",""
"XX","Administrative expenditure allocated to policy areas","",""
01,"Economic and financial affairs","",""
02,"Enterprise","",""
03,"Competition","",""
04,"Employment and social affairs","",""
05,"Agriculture and rural development","",""
06,"Energy and transport","",""
07,"Environment","",""
08,"Research","",""
09,"Information society and media","",""
10,"Direct research","",""
11,"Maritime affairs and fisheries","",""
12,"Internal market","",""
13,"Regional policy","",""
14,"Taxation and customs union","",""
15,"Education and culture","",""
16,"Communication","",""
17,"Health and consumer protection","",""
18,"Area of freedom, security and justice","",""
19,"External relations","",""
20,"Trade","",""
21,"Development and relations with African, Caribbean and Pacific (ACP) States","",""
22,"Enlargement","",""
23,"Humanitarian aid","",""
24,"Fight against fraud","",""
25,"Commission’s policy coordination and legal advice","",""
26,"Commission’s administration","",""
27,"Budget","",""
28,"Audit","",""
29,"Statistics","",""
30,"Pensions and related expenditure","",""
31,"Language services","",""
40,"Reserves","",""
"0A","II 4 - MISCELLANEOUS UNION TAXES, LEVIES AND DUES","",""
"0A","II 6 - CONTRIBUTIONS TO COMMUNITY/EU PROGRAMMES, REPAYMENT OF EXPENDITURE AND REVENUE","",""
"A2","ANNEX 2 - PUBLICATIONS OFFICE","",""
"0A","III 4 - MISCELLANEOUS UNION TAXES, LEVIES AND DUES","",""
"0A","III 6 - CONTRIBUTIONS TO EU/COMMUNITY PROGRAMMES, REPAYMENT OF EXPENDITURE AND REVENUE","",""
"A3","EUROPEAN ANTI-FRAUD OFFICE (OLAF) - ADMINISTRATIVE EXPENDITURE OF THE ANTI-FRAUD OFFICE","",""
"0A","IV 4 - MISCELLANEOUS UNION TAXES, LEVIES AND DUES","",""
"0A","IV 6 - CONTRIBUTIONS TO EU/COMMUNITY PROGRAMMES, REPAYMENT OF EXPENDITURE AND REVENUE","",""
"A4","EUROPEAN PERSONNEL SELECTION OFFICE","",""
"0A","V 4 - MISCELLANEOUS UNION TAXES, LEVIES AND DUES","",""
"0A","V 6 - CONTRIBUTIONS TO EU/COMMUNITY PROGRAMMES, REPAYMENT OF EXPENDITURE AND REVENUE","",""
"A5","OFFICE FOR ADMINISTRATION AND PAYMENT OF INDIVIDUAL ENTITLEMENTS","",""
"0A","VI 4 - MISCELLANEOUS UNION TAXES, LEVIES AND DUES","",""
"0A","VI 6 - CONTRIBUTIONS TO EU/COMMUNITY PROGRAMMES, REPAYMENT OF EXPENDITURE AND REVENUE","",""
"A6","OFFICE FOR INFRASTRUCTURE AND LOGISTICS - BRUSSELS","",""
"0A","VII 4 - MISCELLANEOUS UNION TAXES, LEVIES AND DUES","",""
"0A","VII 6 - CONTRIBUTIONS TO EU/COMMUNITY PROGRAMMES, REPAYMENT OF EXPENDITURE AND REVENUE","",""
"A7","OFFICE FOR INFRASTRUCTURE AND LOGISTICS - LUXEMBOURG","",""
04.00,"MISCELLANEOUS TAXES AND DEDUCTIONS","",""
04.01,"CONTRIBUTIONS TO THE PENSION SCHEME","",""
04.02,"OTHER CONTRIBUTIONS TO THE PENSION SCHEME","",""
05.00,"PROCEEDS FROM THE SALE OF MOVABLE PROPERTY (SUPPLY OF GOODS) AND IMMOVABLE PROPERTY","",""
05.01,"PROCEEDS FROM LETTING AND HIRING","",""
05.02,"REVENUE FROM INVESTMENTS OR LOANS GRANTED, BANK AND OTHER INTEREST","",""
05.05,"REVENUE FROM THE SUPPLY OF SERVICES AND WORKS","",""
05.07,"OTHER CONTRIBUTIONS AND REFUNDS IN CONNECTION WITH THE ADMINISTRATIVE OPERATION OF THE INSTITUTION","",""
05.08,"MISCELLANEOUS COMPENSATION","",""
05.09,"Other revenue from administrative operations","",""
06.00,"CONTRIBUTIONS TO COMMUNITY/EU PROGRAMMES","",""
06.01,"REPAYMENT OF MISCELLANEOUS EXPENDITURE","",""
06.02,"REVENUE FROM SERVICES RENDERED AGAINST PAYMENT","",""
06.03,"CONTRIBUTIONS UNDER SPECIFIC AGREEMENTS","",""
06.05,"FINANCIAL CORRECTIONS","",""
06.06,"OTHER CONTRIBUTIONS AND REFUNDS","",""
06.07,"REVENUE CONCERNING EAGF AND EAFRD","",""
06.08,"TEMPORARY RESTRUCTURING AMOUNTS","",""
07.00,"INTEREST ON LATE PAYMENTS","",""
07.01,"FINES","",""
07.02,"INTEREST ON DEPOSITS AND FINES","",""
08.00,"REVENUE RESULTING FROM THE EUROPEAN UNION GUARANTEE FOR BORROWING AND LENDING OPERATIONS IN THE MEMBER STATES","",""
08.01,"LOANS GRANTED BY THE COMMISSION","",""
08.02,"REVENUE RESULTING FROM THE EUROPEAN UNION GUARANTEE FOR BORROWING AND LENDING OPERATIONS FOR NON-MEMBER COUNTRIES","",""
08.03,"REVENUE RESULTING FROM THE EUROPEAN UNION GUARANTEE FOR LOANS GRANTED BY FINANCIAL ESTABLISHMENTS IN NON-MEMBER COUNTRIES","",""
08.05,"REVENUE FROM CONTRIBUTIONS BY GUARANTEE BODIES","",""
09.00,"MISCELLANEOUS REVENUE","",""
"XX.01","Administrative expenditure allocated to policy areas","",""
01.01,"Administrative expenditure of Economic and financial affairs policy area","",""
01.02,"Economic and monetary union","",""
01.03,"International economic and financial affairs","",""
01.04,"Financial operations and instruments","",""
02.01,"Administrative expenditure of Enterprise policy area","",""
02.02,"Competitiveness, industrial policy, innovation and entrepreneurship","",""
02.03,"Internal market for goods and sectoral policies","",""
02.04,"Cooperation - Space and security","",""
03.01,"Administrative expenditure of Competition policy area","",""
03.03,"Cartels, anti-trust and liberalisation","",""
04.01,"Administrative expenditure of Employment and social affairs policy area","",""
04.02,"European Social Fund","",""
04.03,"Working in europe - Social dialogue and mobility","",""
04.04,"Employment, social solidarity and gender equality","",""
04.05,"European Globalisation Adjustment Fund (EGF)","",""
04.06,"Instrument for Pre-Accession Assistance (IPA) - Human resources development","",""
05.01,"Administrative expenditure of Agriculture and rural development policy area","",""
05.02,"Interventions in agricultural markets","",""
05.03,"Direct aids","",""
