"CODE","LABEL","NUTS_LEVEL","COUNTRY","OFFICIAL_SORTING_ORDER_OF_COUNTRIES"
"BE","BELGIQUE-BELGIË ",0,"BE",1
"BE1","RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST",1,"BE",1
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",2,"BE",1
"BE100","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad",3,"BE",1
"BE2","VLAAMS GEWEST",1,"BE",1
"BE21","Prov. Antwerpen",2,"BE",1
"BE211","Arr. Antwerpen",3,"BE",1
"BE212","Arr. Mechelen",3,"BE",1
"BE213","Arr. Turnhout",3,"BE",1
"BE22","Prov. Limburg (B)",2,"BE",1
"BE221","Arr. Hasselt",3,"BE",1
"BE222","Arr. Maaseik",3,"BE",1
"BE223","Arr. Tongeren",3,"BE",1
"BE23","Prov. Oost-Vlaanderen",2,"BE",1
"BE231","Arr. Aalst",3,"BE",1
"BE232","Arr. Dendermonde",3,"BE",1
"BE233","Arr. Eeklo",3,"BE",1
"BE234","Arr. Gent",3,"BE",1
"BE235","Arr. Oudenaarde",3,"BE",1
"BE236","Arr. Sint-Niklaas",3,"BE",1
"BE24","Prov. Vlaams-Brabant",2,"BE",1
"BE241","Arr. Halle-Vilvoorde",3,"BE",1
"BE242","Arr. Leuven",3,"BE",1
"BE25","Prov. West-Vlaanderen",2,"BE",1
"BE251","Arr. Brugge",3,"BE",1
"BE252","Arr. Diksmuide",3,"BE",1
"BE253","Arr. Ieper",3,"BE",1
"BE254","Arr. Kortrijk",3,"BE",1
"BE255","Arr. Oostende",3,"BE",1
"BE256","Arr. Roeselare",3,"BE",1
"BE257","Arr. Tielt",3,"BE",1
"BE258","Arr. Veurne",3,"BE",1
"BE3","RÉGION WALLONNE",1,"BE",1
"BE31","Prov. Brabant Wallon",2,"BE",1
"BE310","Arr. Nivelles",3,"BE",1
"BE32","Prov. Hainaut",2,"BE",1
"BE321","Arr. Ath",3,"BE",1
"BE322","Arr. Charleroi",3,"BE",1
"BE323","Arr. Mons",3,"BE",1
"BE324","Arr. Mouscron",3,"BE",1
"BE325","Arr. Soignies",3,"BE",1
"BE326","Arr. Thuin",3,"BE",1
"BE327","Arr. Tournai",3,"BE",1
"BE33","Prov. Liège",2,"BE",1
"BE331","Arr. Huy",3,"BE",1
"BE332","Arr. Liège",3,"BE",1
"BE334","Arr. Waremme",3,"BE",1
"BE335","Arr. Verviers - communes francophones",3,"BE",1
"BE336","Bezirk Verviers - Deutschsprachige Gemeinschaft",3,"BE",1
"BE34","Prov. Luxembourg (B)",2,"BE",1
"BE341","Arr. Arlon",3,"BE",1
"BE342","Arr. Bastogne",3,"BE",1
"BE343","Arr. Marche-en-Famenne",3,"BE",1
"BE344","Arr. Neufchâteau",3,"BE",1
"BE345","Arr. Virton",3,"BE",1
"BE35","Prov. Namur",2,"BE",1
"BE351","Arr. Dinant",3,"BE",1
"BE352","Arr. Namur",3,"BE",1
"BE353","Arr. Philippeville",3,"BE",1
"BEZ","EXTRA-REGIO",1,"BE",1
"BEZZ","Extra-Regio",2,"BE",1
"BEZZZ","Extra-Regio",3,"BE",1
"BG","БЪЛГАРИЯ / BULGARIA",0,"BG",2
"BG3","СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ / SEVERNA I IZTOCHNA BULGARIA",1,"BG",2
"BG31","Северозападен / Severozapaden",2,"BG",2
"BG311","Видин / Vidin",3,"BG",2
"BG312","Монтана / Montana",3,"BG",2
"BG313","Враца / Vratsa",3,"BG",2
"BG314","Плевен / Pleven",3,"BG",2
"BG315","Ловеч / Lovech",3,"BG",2
"BG32","Северен централен / Severen tsentralen",2,"BG",2
"BG321","Велико Търново / Veliko Tarnovo",3,"BG",2
"BG322","Габрово / Gabrovo",3,"BG",2
"BG323","Русе / Ruse",3,"BG",2
"BG324","Разград / Razgrad",3,"BG",2
"BG325","Силистра / Silistra",3,"BG",2
"BG33","Североизточен / Severoiztochen",2,"BG",2
"BG331","Варна / Varna",3,"BG",2
"BG332","Добрич / Dobrich",3,"BG",2
"BG333","Шумен / Shumen",3,"BG",2
"BG334","Търговище / Targovishte",3,"BG",2
"BG34","Югоизточен / Yugoiztochen",2,"BG",2
"BG341","Бургас / Burgas",3,"BG",2
"BG342","Сливен / Sliven",3,"BG",2
"BG343","Ямбол / Yambol",3,"BG",2
"BG344","Стара Загора / Stara Zagora",3,"BG",2
"BG4","ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ / YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA",1,"BG",2
"BG41","Югозападен / Yugozapaden",2,"BG",2
"BG411","София (столица) / Sofia (stolitsa)",3,"BG",2
"BG412","София / Sofia",3,"BG",2
"BG413","Благоевград / Blagoevgrad",3,"BG",2
"BG414","Перник / Pernik",3,"BG",2
"BG415","Кюстендил / Kyustendil",3,"BG",2
"BG42","Южен централен / Yuzhen tsentralen",2,"BG",2
"BG421","Пловдив / Plovdiv",3,"BG",2
"BG422","Хасково / Haskovo",3,"BG",2
"BG423","Пазарджик / Pazardzhik",3,"BG",2
"BG424","Смолян / Smolyan",3,"BG",2
"BG425","Кърджали / Kardzhali",3,"BG",2
"BGZ","EXTRA-REGIO",1,"BG",2
"BGZZ","Extra-Regio",2,"BG",2
"BGZZZ","Extra-Regio",3,"BG",2
"CZ","ČESKÁ REPUBLIKA",0,"CZ",3
"CZ0","ČESKÁ REPUBLIKA",1,"CZ",3
"CZ01","Praha",2,"CZ",3
"CZ010","Hlavní město Praha",3,"CZ",3
"CZ02","Střední Čechy",2,"CZ",3
"CZ020","Středočeský kraj",3,"CZ",3
"CZ03","Jihozápad",2,"CZ",3
"CZ031","Jihočeský kraj",3,"CZ",3
"CZ032","Plzeňský kraj",3,"CZ",3
"CZ04","Severozápad",2,"CZ",3
"CZ041","Karlovarský kraj",3,"CZ",3
"CZ042","Ústecký kraj",3,"CZ",3
"CZ05","Severovýchod",2,"CZ",3
"CZ051","Liberecký kraj",3,"CZ",3
"CZ052","Královéhradecký kraj",3,"CZ",3
"CZ053","Pardubický kraj",3,"CZ",3
"CZ06","Jihovýchod",2,"CZ",3
"CZ063","Vysočina",3,"CZ",3
"CZ064","Jihomoravský kraj",3,"CZ",3
"CZ07","Střední Morava",2,"CZ",3
"CZ071","Olomoucký kraj",3,"CZ",3
"CZ072","Zlínský kraj",3,"CZ",3
"CZ08","Moravskoslezsko",2,"CZ",3
"CZ080","Moravskoslezský kraj",3,"CZ",3
"CZZ","EXTRA-REGIO",1,"CZ",3
"CZZZ","Extra-Regio",2,"CZ",3
"CZZZZ","Extra-Regio",3,"CZ",3
"DK","DANMARK",0,"DK",4
"DK0","DANMARK",1,"DK",4
"DK01","Hovedstaden",2,"DK",4
"DK011","Byen København",3,"DK",4
"DK012","Københavns omegn",3,"DK",4
"DK013","Nordsjælland",3,"DK",4
"DK014","Bornholm",3,"DK",4
"DK02","Sjælland",2,"DK",4
"DK021","Østsjælland",3,"DK",4
"DK022","Vest- og Sydsjælland",3,"DK",4
"DK03","Syddanmark",2,"DK",4
"DK031","Fyn",3,"DK",4
"DK032","Sydjylland",3,"DK",4
"DK04","Midtjylland",2,"DK",4
"DK041","Vestjylland",3,"DK",4
"DK042","Østjylland",3,"DK",4
"DK05","Nordjylland",2,"DK",4
"DK050","Nordjylland",3,"DK",4
"DKZ","EXTRA-REGIO",1,"DK",4
"DKZZ","Extra-Regio",2,"DK",4
"DKZZZ","Extra-Regio",3,"DK",4
"DE","DEUTSCHLAND ",0,"DE",5
"DE1","BADEN-WÜRTTEMBERG",1,"DE",5
"DE11","Stuttgart",2,"DE",5
"DE111","Stuttgart, Stadtkreis",3,"DE",5
"DE112","Böblingen",3,"DE",5
"DE113","Esslingen",3,"DE",5
"DE114","Göppingen",3,"DE",5
"DE115","Ludwigsburg",3,"DE",5
"DE116","Rems-Murr-Kreis",3,"DE",5
"DE117","Heilbronn, Stadtkreis",3,"DE",5
"DE118","Heilbronn, Landkreis",3,"DE",5
"DE119","Hohenlohekreis",3,"DE",5
"DE11A","Schwäbisch Hall",3,"DE",5
"DE11B","Main-Tauber-Kreis",3,"DE",5
"DE11C","Heidenheim",3,"DE",5
"DE11D","Ostalbkreis",3,"DE",5
"DE12","Karlsruhe",2,"DE",5
"DE121","Baden-Baden, Stadtkreis",3,"DE",5
"DE122","Karlsruhe, Stadtkreis",3,"DE",5
"DE123","Karlsruhe, Landkreis",3,"DE",5
"DE124","Rastatt",3,"DE",5
"DE125","Heidelberg, Stadtkreis",3,"DE",5
